101,www.pa.msu.edu,35.9.68.172,42.735,-84.467,EDU.MSU.PA.N1,Michigan State University,pa.msu.edu,NOT-SET
102,www.nbi.dk,130.225.212.5,55.6868,12.5719,DK.NBI.N1,Niels Bohr Institute,nbi.dk,NOT-SET
103,www.mppmu.mpg.de,134.107.24.10,48.15,11.58,DE.MPG.N1,NOT-SET,mpg.de,NOT-SET
104,w4.lns.cornell.edu,128.84.44.110,41.48,-81.68,EDU.CORNELL.N3,Cornell University,cornell.edu,NOT-SET
105,wayne.edu,141.217.1.22,42.442,-83.117,EDU.WAYNE.N1,Wayne State University,wayne.edu,Z
106,ftp.noao.edu,140.252.1.52,32.217,-110.967,EDU.NOAO.N1,The National Optical Astronomy Observatory,noao.edu,NOT-SET
107,ftp.physics.carleton.ca,134.117.14.27,45.41,-75.70,CA.CARLETON.N1,Carleton University,carleton.ca,B
108,sarcee.phys.ualberta.ca,129.128.7.65,53.528,-113.526,CA.UALBERTA.N2,University of Alberta,ualberta.ca,Z
109,www.sun.com,192.9.49.33,37.388,-122.067,SUN,Sun Microsystems,sun.com,ZN
110,alfalfa.pas.rochester.edu,128.151.144.230,43.15,-77.60,EDU.ROCHESTER.N1,University of Rochester,rochester.edu,NOT-SET
111,www.lightning.net,216.218.186.2,37.516,-121.896,LIGHTNING-NET,Lighning Internet Services,lightning.net,Z
112,trieste-gw1.ts.infn.it,140.105.6.1,45.60,13.80,INFN-TS,INFN Trieste,ts.infn.it,ZNN
113,canel5.iis.sinica.edu.tw,140.109.19.1,25.03,121.63,TW.ASCC.NET.N34,Academia Sinica,sinica.edu.tw,Z
114,www.het.brown.edu,128.148.26.157,41.817,-71.400,EDU.BROWN.N3,Brown University,brown.edu,Z
115,www.ill.fr,193.49.43.124,48.867,2.333,FR.ILL.N1,Laue-Langevin Institute,ill.fr,NOT-SET
116,fed.ornl.gov,134.167.108.3,36.010,-84.250,ORNL,Oak Ridge National Laboratory,ornl.gov,Z
117,lns62.lns.cornell.edu,128.84.47.62,41.48,-81.68,EDU.CORNELL.N2,Cornell University,cornell.edu,NOT-SET
118,raman.physics.ucla.edu,128.97.23.117,34.058,-118.250,EDU.UCLA.N2,University of California - Los Angeles,ucla.edu,Z
119,www.es.net,198.128.3.112,37.873,-122.267,ES-NET,Energy Sciences Network,es.net,Z
120,140.109.18.50,140.109.18.50,25.000,121.400,TW.ASCC.NET.N36,Academia Sinica,sinica.edu.tw,ZN
121,ftp.stsci.edu,130.167.1.16,39.288,-76.617,EDU.STSCI.N1,Space Telescope Science Institute,stsci.edu,NOT-SET
122,www.ccs.ornl.gov,134.167.16.23,36.010,-84.250,ORNL,Center for Computational Sciences at ORNL,ornl.gov,ZN
123,cio-sys.cisco.com,192.31.7.130,37.335,-121.867,CISCO,Cisco Systems,cisco.com,Z
124,www.kph.uni-mainz.de,134.93.178.19,52.270,13.180,DE.UNI-MAINZ.N2,Johannes Gutenberg-University,uni-mainz.de,NOT-SET
125,canel4.iis.sinica.edu.tw,140.109.20.1,25.03,121.63,TW.ASCC.NET.N35,Academia Sinica,sinica.edu.tw,ZN
126,ornl.gov,128.219.128.17,36.010,-84.250,GOV.ORNL.N2,Oak Ridge National Laboratory,ornl.gov,Z
127,ftp.jach.hawaii.edu,128.171.90.222,21.313,-157.850,EDU.HAWAII.N3,University of Hawaii,hawaii.edu,Z
128,charm.physics.ucsb.edu,128.111.19.35,34.422,-119.683,EDU.UCSB.N1,University of California - Santa Barbara,ucsb.edu,NOT-SET
129,sitka.triumf.ca,142.90.106.59,49.2475,-123.2308,CA.TRIUMF.N4,TRIUMF Facility,triumf.ca,MB
130,desperado.utd.rochester.edu,128.151.7.1,43.15,-77.60,ROCHESTER,University of Rochester,rochester.edu,Z
131,info.fuw.edu.pl,193.0.80.28,52.250,21.000,PL.FUW.EDU.N1,NOT-SET,fuw.edu.pl,NOT-SET
132,calvin.niams.nih.gov,165.112.114.25,38.985,-77.083,NIH,National Institute of Arthritis and Musculoskeletal and Skin Diseases,nih.gov,Z
133,www.fnal.gov,131.225.70.2,41.85,-88.31,GOV.FNAL.N2,Fermi National Accelerator Laboratory,fnal.gov,NOT-SET
134,d.root-servers.net,128.8.10.90,38.987,-76.933,NET.ROOT-SERVERS.N3,Root Server-D,root-servers.net,NOT-SET
135,www.physik.rwth-aachen.de,134.130.4.35,52.270,13.180,DE.RWTH-AACHEN.N1,The Aachen University of Technology,rwth-aachen.de,NOT-SET
136,www.ihep.su,194.190.161.169,55.750,37.583,RU.IHEP.N1,Institute for High Energy Physics,ihep.su,NOT-SET
137,aip.org,192.58.150.10,40.715,-73.583,ORG.AIP.N1,American Institute of Physics,aip.org,Z
138,ucr.edu,138.23.226.101,33.980,-117.350,UCR,University of California - Riverside,ucr.edu,Z
139,www.mcs.anl.gov,140.221.9.81,41.858,-88.017,GOV.ANL.N2,Argonne National Laboratory,anl.gov,Z
140,purdue.edu,128.210.7.199,40.45,-86.91,EDU.PURDUE.N2,Purdue University,purdue.edu,Z
